ne year,month,month_year,country,region,is_aggregate,visitors
2023,Apr,Apr-2023,Hungary,Europe,False,1616
2023,Apr,Apr-2023,Iceland,Europe,False,210
2023,Apr,Apr-2023,India,Asia and the Pacific,False,133312
2023,Apr,Apr-2023,Indonesia,Asia and the Pacific,False,63952
2023,Apr,Apr-2023,Iran,Asia and the Pacific,False,3063
2023,Apr,Apr-2023,Iraq,Middle East,False,222
2023,Apr,Apr-2023,Ireland,Europe,False,4535
2023,Apr,Apr-2023,Israel,Europe,False,17820
2023,Apr,Apr-2023,Italy,Europe,False,10329
2023,Apr,Apr-2023,Japan,Asia and the Pacific,False,45258
2023,Apr,Apr-2023,Jordan,Middle East,False,653
2023,Apr,Apr-2023,Kazakhstan,Europe,False,9230
2023,Apr,Apr-2023,Kenya,Africa,False,408
2023,Apr,Apr-2023,Korea (Republic of),Asia and the Pacific,False,95830
2023,Apr,Apr-2023,Kuwait,Middle East,False,3341
2023,Apr,Apr-2023,Kyrgyzstan,Europe,False,231
2023,Apr,Apr-2023,Laos,Asia and the Pacific,False,67930
2023,Apr,Apr-2023,Latvia,Europe,False,483
2023,Apr,Apr-2023,Lebanon,Middle East,False,294
2023,Apr,Apr-2023,Lithuania,Europe,False,1050
2023,Apr,Apr-2023,Luxembourg,Europe,False,484
2023,Apr,Apr-2023,Macao (China),Asia and the Pacific,False,3467
2023,Apr,Apr-2023,Malaysia,Asia and the Pacific,False,401394
2023,Apr,Apr-2023,Maldives,Asia and the Pacific,False,1105
2023,Apr,Apr-2023,Mauritius,Africa,False,1150
2023,Apr,Apr-2023,Mexico,America,False,2753
2023,Apr,Apr-2023,Middle East,Middle East,True,26190
2023,Apr,Apr-2023,Mongolia,Asia and the Pacific,False,893
2023,Apr,Apr-2023,Morocco,Africa,False,372
2023,Apr,Apr-2023,Myanmar,Asia and the Pacific,False,33737
2023,Apr,Apr-2023,Nepal,Asia and the Pacific,False,2387
2023,Apr,Apr-2023,Netherlands,Europe,False,16538
2023,Apr,Apr-2023,New Zealand,Oceania,False,7476
2023,Apr,Apr-2023,North Korea,Asia and the Pacific,False,0
2023,Apr,Apr-2023,North-East Asia,Asia and the Pacific,True,598386
2023,Apr,Apr-2023,Northern Europe,Europe,True,97361
2023,Apr,Apr-2023,Norway,Europe,False,4059
2023,Apr,Apr-2023,Oceania,Oceania,True,66954
2023,Apr,Apr-2023,Oman,Middle East,False,2531
2023,Apr,Apr-2023,Other in Africa,Africa,False,1359
2023,Apr,Apr-2023,Other in America,America,False,793
2023,Apr,Apr-2023,Other in Asia,Asia and the Pacific,False,70
2023,Apr,Apr-2023,Other in Europe,Europe,False,990
2023,Apr,Apr-2023,Other in Middle East,Middle East,False,369
2023,Apr,Apr-2023,Other in Oceania,Oceania,False,356
2023,Apr,Apr-2023,Pakistan,Asia and the Pacific,False,2852
2023,Apr,Apr-2023,Peru,America,False,515
2023,Apr,Apr-2023,Philippines,Asia and the Pacific,False,32915
2023,Apr,Apr-2023,Poland,Europe,False,5799
2023,Apr,Apr-2023,Portugal,Europe,False,3775
2023,Apr,Apr-2023,Qatar,Middle East,False,3076
2023,Apr,Apr-2023,Romania,Europe,False,2256
2023,Apr,Apr-2023,Russian Federation,Europe,False,115706
2023,Apr,Apr-2023,Saudi Arabia,Middle East,False,8472
2023,Apr,Apr-2023,Serbia,Europe,False,452
2023,Apr,Apr-2023,Singapore,Asia and the Pacific,False,62845
2023,Apr,Apr-2023,Slovakia,Europe,False,1624
2023,Apr,Apr-2023,Slovenia,Europe,False,764
2023,Apr,Apr-2023,South  Africa,Africa,False,5265
2023,Apr,Apr-2023,South Asia,Asia and the Pacific,True,156364
2023,Apr,Apr-2023,South-East Asia,Asia and the Pacific,True,793741
2023,Apr,Apr-2023,Southern/Medit. Europe,Europe,True,46890
2023,Apr,Apr-2023,Spain,Europe,False,7620
2023,Apr,Apr-2023,Sri Lanka,Asia and the Pacific,False,2211
2023,Apr,Apr-2023,Sweden,Europe,False,8321
2023,Apr,Apr-2023,Switzerland,Europe,False,14676
2023,Apr,Apr-2023,Taiwan,Asia and the Pacific,False,56627
2023,Apr,Apr-2023,The United States of America,America,False,72139
2023,Apr,Apr-2023,Turkey,Europe,False,4428
2023,Apr,Apr-2023,U.A.E.,Middle East,False,4869
2023,Apr,Apr-2023,Ukraine,Europe,False,2411
2023,Apr,Apr-2023,United Kingdom,Europe,False,71640
2023,Apr,Apr-2023,Uruguay,America,False,815
2023,Apr,Apr-2023,Uzbekistan,Europe,False,1596
2023,Apr,Apr-2023,Vietnam,Asia and the Pacific,False,84346
2023,Apr,Apr-2023,Western Europe,Europe,True,138482
2023,Apr,Apr-2023,Yemen,Middle East,False,377
2023,May,May-2023,Africa,Africa,True,8778
2023,May,May-2023,America,America,True,85529
2023,May,May-2023,Argentina,America,False,1121
2023,May,May-2023,Asia and the Pacific,Asia and the Pacific,True,1595745
2023,May,May-2023,Australia,Oceania,False,51069
2023,May,May-2023,Austria,Europe,False,3859
2023,May,May-2023,Bahrain,Middle East,False,1966
2023,May,May-2023,Bangladesh,Asia and the Pacific,False,10853
2023,May,May-2023,Belarus,Europe,False,290
2023,May,May-2023,Belgium,Europe,False,4539
2023,May,May-2023,Bhutan,Asia and the Pacific,False,1241
2023,May,May-2023,Brazil,America,False,2966
2023,May,May-2023,Brunei,Asia and the Pacific,False,1065
2023,May,May-2023,Bulgaria,Europe,False,437
2023,May,May-2023,Cambodia,Asia and the Pacific,False,51160
2023,May,May-2023,Canada,America,False,13969
2023,May,May-2023,Central/Eastern Europe,Europe,True,80486
2023,May,May-2023,Chile,America,False,910
2023,May,May-2023,China,Asia and the Pacific,False,285547
2023,May,May-2023,Colombia,America,False,602
2023,May,May-2023,Croatia,Europe,False,188
